one,two,three,four,five
15.7056,6.66706,3.99396,40.354301,1
25.2976,15.7056,3.89379,43.022701,1
40.354301,25.2976,4.32529,71.055099,1
43.022701,40.354301,4.07864,55.142399,1
71.055099,43.022701,3.77099,55.754101,0
55.142399,71.055099,6.66706,88.330704,1
55.754101,55.142399,15.7056,232.095993,1
88.330704,55.754101,25.2976,163.350998,1
232.095993,88.330704,40.354301,202.895004,0
163.350998,232.095993,43.022701,116.607002,0
202.895004,163.350998,71.055099,148.477005,0
116.607002,202.895004,55.142399,118.073997,1
148.477005,116.607002,55.754101,81.374001,0
118.073997,148.477005,88.330704,79.702301,0
81.374001,118.073997,232.095993,61.925499,0
79.702301,81.374001,163.350998,61.141899,0
61.925499,79.702301,202.895004,49.441502,0
61.141899,61.925499,116.607002,32.064762,0
49.441502,61.141899,148.477005,30.468224,0
32.064762,49.441502,118.073997,31.652176,0
30.468224,32.064762,81.374001,46.237255,1
31.652176,30.468224,79.702301,60.755398,1
46.237255,31.652176,61.925499,74.280876,1
60.755398,46.237255,61.141899,114.536957,1
74.280876,60.755398,49.441502,122.249115,1
114.536957,74.280876,32.064762,98.509575,0
122.249115,114.536957,30.468224,64.57605,0
98.509575,122.249115,31.652176,56.056908,0
64.57605,98.509575,46.237255,58.780685,0
56.056908,64.57605,60.755398,47.47543,0
58.780685,56.056908,74.280876,41.340073,0
47.47543,58.780685,114.536957,67.879494,1
41.340073,47.47543,122.249115,58.543262,1
67.879494,41.340073,98.509575,39.299103,0
58.543262,67.879494,64.57605,46.71402,0
39.299103,58.543262,56.056908,45.591885,1
46.71402,39.299103,58.780685,41.467793,0
45.591885,46.71402,47.47543,57.998138,1
41.467793,45.591885,41.340073,61.113796,1
57.998138,41.467793,67.879494,46.284039,0
61.113796,57.998138,58.543262,55.59026,0
46.284039,61.113796,39.299103,87.574631,1
55.59026,46.284039,46.71402,124.690323,1
87.574631,55.59026,45.591885,129.570816,1
124.690323,87.574631,41.467793,164.92717,1
129.570816,124.690323,57.998138,197.4991,1
164.92717,129.570816,61.113796,271.167084,1
197.4991,164.92717,46.284039,188.033676,0
271.167084,197.4991,55.59026,144.135834,0
188.033676,271.167084,87.574631,144.933212,0
144.135834,188.033676,124.690323,171.659225,1
144.933212,144.135834,129.570816,180.376801,1
171.659225,144.933212,164.92717,183.572952,1
